Index,3 mo,6 mo,9 mo,1 yr,18 mo,24 mo,30 mo,3 yr,5 yr,10 yr,20 yr
1/8/10,0.0228,0.0277,0.0307,0.0337,0.0372,0.0412,0.0421,0.0426,0.0491,0.0537,0.0556
1/15/10,0.0231,0.0281,0.0307,0.0326,0.0378,0.0416,0.0423,0.0428,0.048,0.0538,0.0556
1/22/10,0.0236,0.0282,0.0305,0.0325,0.0366,0.0405,0.0421,0.0426,0.048,0.0533,0.0552
1/29/10,0.024,0.0279,0.0304,0.0324,0.037,0.04,0.0422,0.043,0.0482,0.0534,0.0549
2/5/10,0.0224,0.0264,0.0293,0.0318,0.0368,0.0395,0.0418,0.0426,0.0478,0.0532,0.0546
2/12/10,0.0224,0.0256,0.0286,0.0307,0.0355,0.0378,0.0401,0.0411,0.0471,0.0529,0.0545
2/19/10,0.0226,0.0259,0.029,0.0313,0.0367,0.0391,0.0414,0.042,0.0476,0.053,0.0547
2/26/10,0.0217,0.0248,0.0279,0.0308,0.0357,0.0378,0.0401,0.041,0.0462,0.0513,0.0533
3/5/10,0.0217,0.0242,0.0269,0.0303,0.0351,0.0376,0.0401,0.0412,0.0456,0.0503,0.0524
3/12/10,0.0218,0.0236,0.0258,0.0282,0.0327,0.0348,0.0376,0.0393,0.0439,0.0484,0.05
3/19/10,0.0215,0.0227,0.0245,0.0268,0.0307,0.0324,0.0357,0.0376,0.0432,0.0472,0.049
3/26/10,0.0212,0.0223,0.0241,0.0261,0.0307,0.0326,0.0364,0.0391,0.0443,0.049,0.0509
4/2/10,0.0211,0.0223,0.024,0.0252,0.0304,0.0322,0.0357,0.0385,0.0447,0.0493,0.0513
4/9/10,0.0211,0.0224,0.0241,0.0256,0.0305,0.0326,0.036,0.0384,0.0443,0.0483,0.0508
4/16/10,0.0212,0.0225,0.0242,0.026,0.0305,0.0321,0.0352,0.0378,0.0448,0.0493,0.0516
4/23/10,0.0211,0.0225,0.0243,0.0262,0.0312,0.0325,0.0352,0.0375,0.0441,0.0491,0.0514
4/30/10,0.0209,0.0223,0.0243,0.0261,0.032,0.0335,0.0354,0.037,0.0427,0.0482,0.0506
5/7/10,0.0209,0.0225,0.0245,0.0269,0.0322,0.0333,0.0354,0.0371,0.0438,0.0489,0.0514
5/14/10,0.0213,0.0232,0.0255,0.0276,0.033,0.0341,0.0361,0.0378,0.0448,0.0499,0.0523
5/20/10,0.0214,0.0234,0.0257,0.0279,0.0325,0.0337,0.0355,0.0364,0.0445,0.05,0.0524
5/28/10,0.0216,0.0239,0.0263,0.028,0.0328,0.0337,0.0352,0.0358,0.0439,0.0494,0.0521
6/4/10,0.0217,0.0243,0.027,0.0288,0.0334,0.0346,0.0353,0.036,0.0433,0.0491,0.052
6/11/10,0.0213,0.025,0.0275,0.0295,0.0342,0.036,0.0371,0.0371,0.044,0.0493,0.0523
6/18/10,0.021,0.0249,0.0279,0.0299,0.0354,0.0378,0.0386,0.0388,0.0441,0.0491,0.052
6/25/10,0.0222,0.0264,0.029,0.0311,0.0364,0.0384,0.0392,0.0394,0.0452,0.0498,0.0522
7/2/10,0.0222,0.026,0.0286,0.0309,0.0354,0.0374,0.038,0.0385,0.0438,0.0491,0.0511
7/9/10,0.0236,0.0268,0.0293,0.0317,0.036,0.0383,0.039,0.0396,0.0451,0.0494,0.0514
7/16/10,0.0236,0.0267,0.0293,0.0317,0.0356,0.0378,0.0387,0.0392,0.0448,0.0491,0.0511
